,SAT + Pseudo-Boolean,Optimallty_SAT + Pseudo-Boolean,SAT,Optimallty_SAT
1,14,True,14,True
2,226,True,N/A,False
3,12,True,12,True
4,220,True,N/A,False
5,206,True,206,False
6,322,True,N/A,False
7,195,False,N/A,False
8,186,True,N/A,False
9,436,True,N/A,False
10,244,True,N/A,False
11,N/A,False,N/A,False
12,N/A,False,N/A,False
13,1480,False,N/A,False
14,N/A,False,N/A,False
15,N/A,False,N/A,False
16,589,False,N/A,False
17,N/A,False,N/A,False
18,N/A,False,N/A,False
19,N/A,False,N/A,False
20,N/A,False,N/A,False
21,N/A,False,N/A,False
