,SMT + SB,Optimallty_SMT + SB,SMT w/out SB,Optimallty_SMT w/out SB
1,14,True,14,True
2,226,True,226,True
3,12,True,12,True
4,220,True,220,True
5,206,True,206,True
6,322,True,322,True
7,167,True,184,False
8,186,True,186,True
9,436,True,436,True
10,244,True,244,True
11,N/A,False,N/A,False
12,N/A,False,N/A,False
13,N/A,False,N/A,False
14,N/A,False,N/A,False
15,N/A,False,N/A,False
16,N/A,False,N/A,False
17,N/A,False,N/A,False
18,N/A,False,N/A,False
19,N/A,False,N/A,False
20,N/A,False,N/A,False
21,N/A,False,N/A,False
